location_id,sensor_name,sensor_description,installation_date,year_installed,sensor_age_years,status,status_label,is_active,location_type,direction_1,direction_2,directions,latitude,longitude,in_cbd,note,has_note
136,BirFed1120_T,"COM Pole 1120 - Towards the City, Near Federation Square Bridge",2023-11-03,2023.0,2.751540041067762,A,Active,True,Outdoor,East,West,East / West,-37.8184141,144.97357915,True,,False
139,Signal1647_T,COM Pole 1647 - Sandridge Bridge Signal Box,2023-11-20,2023.0,2.704996577686516,A,Active,True,Outdoor,East,West,East / West,-37.81959923,144.9632832,True,,False
142,Hammer1584_T,COM Pole 1584 - Hammer Hall Entrance,2023-11-03,2023.0,2.751540041067762,A,Active,True,Outdoor,East,West,East / West,-37.81970749,144.96795734,True,,False
146,narrLibL1L3_T,narrm ngarrgu Library - Level 1 - Lift 3,2023-10-23,2023.0,2.7816563997262147,A,Active,True,Indoor,,,,-37.80766922,144.95840594,True,,False
150,narrLibL1MB_T,narrm ngarrgu Library - Level 1 Main Stairs B,2023-10-23,2023.0,2.7816563997262147,A,Active,True,Indoor,,,,-37.80791198,144.95820087,True,,False
155,narrLibL#C2_T,narrm ngarrgu Library - Level 3 Children's Library Door 2,2023-10-23,2023.0,2.7816563997262147,A,Active,True,Indoor,,,,-37.80783201,144.95845043,True,,False
160,Swa420_T,"City Baths, 420 Swanston Street - Main Entry",2024-06-04,2024.0,2.1656399726214923,A,Active,True,Indoor,,,,-37.80699526,144.96306214,True,,False
161,BirArt1109_T,Birrarung Marr - COM - Pole 1109,2024-06-04,2024.0,2.1656399726214923,A,Active,True,Outdoor,East,West,East / West,-37.81851276,144.97131336,True,,False
181,Eli368_T,368 Elizabeth Street,2025-03-26,2025.0,1.3579739904175223,A,Active,True,Outdoor,North,South,North / South,-37.81009465,144.96143149,True,Moved from 380 Elizabeth Street,True
188,RMIT51_T,RMIT Building 51 - 80-92 Victoria Street,2025-10-17,2025.0,0.7967145790554415,A,Active,True,Outdoor,North,South,North / South,-37.80663222,144.96456557,True,,False
1,Bou292_T,Bourke Street Mall (North),2009-03-24,2009.0,17.363449691991786,A,Active,True,Outdoor,East,West,East / West,-37.81349441,144.96515323,True,,False
4,Swa123_T,Town Hall (West),2009-03-23,2009.0,17.366187542778917,A,Active,True,Outdoor,North,South,North / South,-37.81487988,144.9660878,True,,False
6,FliS_T,Flinders Underpass - Myki Barriers,2009-03-25,2009.0,17.360711841204655,A,Active,True,Outdoor,North,South,North / South,-37.81907439,144.96557866,True,Upgraded on 8/09/21,True
17,Col15_T,Collins Place (South),2009-03-30,2009.0,17.347022587268995,A,Active,True,Outdoor,East,West,East / West,-37.81362543,144.97323591,True,Device upgraded in 26/02/2020,True
36,Que85_T,Queen St (West),2015-01-20,2015.0,11.537303216974674,A,Active,True,Outdoor,North,South,North / South,-37.81652527,144.96121062,True,"Pushbox Upgrade, 03/08/2023",True
39,AlfPl_T,Alfred Place,2019-12-04,2019.0,6.666666666666667,A,Active,True,Outdoor,North,South,North / South,-37.81379749,144.96995745,True,In 4/12/2019 sensor upgraded,True
